3
1 6 32
1 6 1 6
1 5 1 6
1 5 1 6
1 6 1 6
1 5 1 6
1 3 1 3
1 4 1 6
1 2 1 6
1 3 1 4
1 5 1 6
1 4 1 6
1 5 1 6
1 2 1 4
1 4 1 5
1 5 1 6
1 2 1 3
1 2 1 4
1 3 1 6
1 5 1 6
1 6 1 6
1 4 1 4
1 5 1 6
1 5 1 5
1 3 1 6
1 3 1 6
1 5 1 6
1 4 1 5
1 6 1 6
1 2 1 5
1 2 1 4
1 2 1 3
1 1 1 3
4 10 57
4 5 4 10
3 4 3 8
4 7 4 10
3 8 3 9
3 1 4 2
3 1 3 7
3 1 3 3
3 7 4 10
3 7 3 7
3 9 4 10
3 2 4 10
1 8 2 9
1 1 1 2
2 5 4 7
3 5 3 7
1 3 4 5
3 4 3 8
2 6 3 7
2 8 2 10
4 1 4 6
1 5 3 6
3 5 3 5
3 9 4 10
3 1 3 7
1 5 4 10
3 9 3 9
1 9 4 9
4 1 4 8
4 5 4 7
4 2 4 2
4 9 4 9
3 6 3 9
2 8 3 10
4 1 4 5
4 7 4 8
1 8 2 10
4 3 4 8
3 9 4 10
4 2 4 10
3 10 4 10
4 1 4 1
1 6 1 9
3 4 4 7
3 5 4 6
3 10 4 10
2 7 4 7
4 8 4 9
1 7 2 9
1 7 1 10
4 3 4 4
3 10 4 10
2 7 2 10
3 1 3 1
3 1 4 10
4 6 4 10
3 6 4 8
3 6 4 7
8 2 88
7 1 8 2
4 1 4 1
6 2 7 2
5 2 8 2
4 2 4 2
4 2 8 2
5 1 8 1
2 2 5 2
4 1 7 2
2 2 2 2
8 2 8 2
5 1 8 2
1 1 5 2
7 2 8 2
7 1 7 1
7 2 7 2
3 1 5 1
3 2 8 2
4 2 7 2
2 1 8 1
4 2 8 2
8 1 8 1
8 1 8 1
5 2 7 2
4 1 6 2
6 2 8 2
4 2 6 2
2 2 6 2
4 2 8 2
7 2 7 2
1 1 3 2
3 2 7 2
5 2 8 2
3 1 8 2
7 2 7 2
8 2 8 2
1 1 3 1
4 1 8 1
1 2 8 2
1 2 7 2
8 2 8 2
3 1 3 1
6 1 8 2
1 2 6 2
4 1 5 1
8 2 8 2
8 2 8 2
8 2 8 2
4 1 4 1
5 2 6 2
8 1 8 2
7 1 7 1
4 1 5 1
2 2 6 2
6 1 8 1
7 2 7 2
2 2 5 2
1 1 1 1
5 2 6 2
1 1 7 1
1 1 2 2
3 1 5 1
4 2 6 2
6 2 8 2
1 1 3 2
8 2 8 2
5 1 6 1
7 2 8 2
3 1 4 1
1 1 3 2
1 1 8 2
6 2 7 2
1 1 7 2
1 1 4 1
1 2 3 2
2 2 6 2
3 1 7 1
6 2 6 2
6 2 8 2
6 2 7 2
3 2 3 2
4 1 4 2
8 1 8 1
1 2 4 2
8 2 8 2
2 1 7 1
1 1 8 1
6 1 7 1
