1
39 728 300000
2 38 38 203
37 709 37 713
36 494 38 528
23 95 35 156
9 676 34 676
28 709 33 709
17 602 25 690
9 453 28 491
6 335 28 723
31 125 36 375
33 244 33 684
21 395 35 428
7 512 37 526
34 285 37 338
35 76 39 366
11 185 30 539
35 15 36 496
29 494 39 499
39 452 39 711
38 449 38 546
32 495 39 680
4 633 32 638
32 427 39 492
7 475 15 539
18 375 28 509
19 215 30 482
39 452 39 718
27 90 37 407
7 393 24 637
9 250 12 449
11 576 23 659
2 140 22 358
23 390 38 653
14 81 22 569
22 199 34 585
15 44 30 259
20 551 35 610
21 22 39 662
36 2 39 680
31 411 36 600
30 333 32 570
23 355 32 450
3 178 3 253
23 562 38 602
1 424 9 520
38 327 38 465
37 209 38 399
31 513 35 567
6 290 38 409
33 61 38 286
23 727 37 727
23 609 34 635
20 45 26 81
32 277 37 545
1 365 39 402
22 620 22 688
30 223 34 329
38 592 38 649
26 573 36 673
12 99 28 310
29 4 39 139
14 655 32 721
27 215 36 425
34 374 35 715
20 636 25 663
23 650 30 696
6 452 27 464
22 591 39 652
25 7 31 320
32 261 39 587
37 54 38 515
7 367 9 694
32 431 38 539
18 598 21 696
6 245 7 533
25 230 32 671
38 334 39 725
35 279 38 407
36 35 36 172
16 645 30 695
27 538 28 639
32 257 38 380
33 359 34 502
28 254 36 406
11 359 11 659
37 645 37 661
39 132 39 262
22 10 37 487
31 253 38 501
38 413 39 601
37 347 39 442
9 674 30 715
7 52 34 465
25 48 34 460
2 171 3 244
37 397 39 447
2 190 36 511
19 561 33 566
7 319 33 637
5 239 29 673
1 668 5 716
26 288 37 631
31 560 35 610
15 279 24 487
18 71 37 76
26 437 28 465
31 221 34 307
25 79 29 452
10 376 36 651
34 467 36 526
20 65 25 113
17 543 28 688
7 168 30 294
18 690 23 690
36 581 36 694
18 73 19 128
11 127 16 140
37 603 39 659
26 224 26 371
13 77 38 254
13 623 19 628
4 727 21 727
6 293 20 588
37 333 37 620
37 681 37 708
34 207 34 457
4 229 31 325
26 170 33 266
8 662 16 709
20 148 38 508
14 295 35 461
24 404 39 473
26 487 34 720
3 440 10 616
16 558 23 585
12 124 16 183
37 108 37 663
10 218 33 502
21 626 38 684
37 77 37 98
24 719 39 720
37 492 39 503
1 93 35 196
3 182 15 456
15 58 27 233
3 240 31 381
34 447 39 593
39 40 39 644
21 220 36 600
18 486 39 608
13 441 34 528
9 53 28 92
23 14 26 75
26 422 28 524
15 197 35 243
3 486 25 677
9 587 34 640
21 11 30 173
4 171 30 344
20 395 23 433
16 18 31 271
12 461 25 674
15 180 25 552
30 333 34 641
30 342 32 724
14 317 31 440
3 570 30 660
21 591 32 629
17 710 28 720
20 268 30 276
9 517 9 649
20 192 38 350
19 36 32 686
23 699 38 715
30 622 38 629
2 249 29 517
20 369 32 483
26 675 30 699
2 470 5 641
11 108 31 176
11 53 28 283
37 621 39 660
4 559 36 610
39 642 39 702
38 27 39 151
4 538 12 631
29 569 35 716
28 371 32 384
31 626 36 692
19 508 37 556
16 502 25 576
11 305 38 383
24 580 24 717
13 378 24 583
22 470 26 519
28 716 30 717
13 378 27 384
21 255 28 530
3 378 10 481
33 190 33 460
30 549 38 696
17 186 18 369
39 404 39 713
19 384 20 417
34 661 39 716
16 670 38 681
17 708 37 711
35 722 37 724
30 501 35 516
21 155 23 569
13 435 34 677
27 254 36 267
26 508 32 691
10 618 10 699
4 370 30 450
8 332 16 679
19 100 35 369
1 700 4 713
4 459 7 553
26 686 26 698
4 238 9 311
39 586 39 662
26 286 32 447
28 588 29 675
33 323 34 720
25 229 36 650
31 237 33 552
34 72 38 637
14 19 14 258
25 566 25 607
6 496 17 502
13 339 21 394
12 512 21 623
12 302 16 653
7 72 35 191
1 629 27 680
38 572 38 593
36 22 38 81
21 134 34 643
16 95 32 686
36 606 39 611
35 464 35 683
31 124 33 333
5 436 28 651
21 280 37 361
33 67 36 436
15 370 18 559
31 571 32 627
5 362 13 457
37 490 37 685
32 386 33 653
9 669 23 724
36 295 36 715
3 565 22 607
16 36 19 411
38 500 38 513
13 110 35 212
19 348 38 573
23 705 35 727
6 537 26 609
10 137 29 344
38 146 38 594
23 698 31 721
15 284 19 686
4 25 5 274
30 215 34 416
32 25 38 82
11 167 30 348
31 631 39 689
6 532 22 679
38 142 39 672
5 522 22 581
25 116 26 646
25 474 39 486
31 50 33 459
30 631 32 689
18 240 25 709
22 26 29 666
3 359 28 722
28 575 34 631
4 246 11 583
35 245 38 425
7 133 10 298
24 290 38 646
33 213 33 647
31 52 31 70
30 254 36 638
16 713 23 723
1 103 34 295
28 329 36 562
2 218 20 700
28 623 35 658
1 156 29 300
21 35 31 653
27 50 36 146
38 706 39 713
12 679 31 691
19 261 19 523
33 55 34 222
8 406 36 587
22 256 26 298
14 350 30 473
2 523 9 581
30 522 36 535
27 623 39 708
30 513 34 683
15 726 30 727
22 63 38 209
10 542 36 641
26 110 33 557
19 113 21 434
12 319 19 555
24 614 37 640
35 301 36 658
3 214 10 451
36 235 36 546
20 144 29 496
25 97 37 213
23 5 37 279
30 483 36 633
14 436 28 580
23 506 25 654
35 727 38 728
19 305 33 588
34 229 37 414
25 569 27 641
13 518 13 549
39 126 39 147
38 442 39 443
21 39 29 411
23 674 28 685
14 586 32 589
17 341 29 353
7 533 13 725
26 324 35 574
21 46 37 161
11 103 31 442
30 181 35 597
28 478 33 650
4 157 18 711
37 593 39 639
8 638 13 657
21 144 38 482
30 501 38 719
26 179 26 249
10 251 27 608
24 412 35 638
6 466 26 486
12 232 35 628
16 315 27 595
9 529 19 625
25 491 36 680
13 543 26 651
5 481 6 671
23 578 30 617
3 265 33 342
30 490 37 614
11 628 25 718
26 424 30 703
3 694 22 706
19 194 21 335
28 607 36 698
35 210 38 641
11 691 31 694
17 287 24 612
11 682 34 723
13 59 16 310
29 528 36 703
23 148 24 245
28 542 29 614
34 548 35 585
3 159 18 478
4 560 20 720
10 492 10 638
11 236 24 595
1 352 21 544
18 517 28 725
31 421 32 544
4 502 33 567
24 237 26 312
16 620 30 690
15 298 35 659
21 154 25 384
28 711 34 719
7 566 33 590
25 588 31 675
2 266 11 690
8 478 25 652
38 364 38 385
22 540 23 727
38 286 38 341
4 188 31 295
24 78 37 670
12 108 12 407
12 623 12 685
21 665 27 670
22 247 29 272
19 395 24 604
29 239 29 516
15 479 24 660
26 182 34 376
24 468 36 643
28 718 39 722
34 30 39 706
14 573 24 718
9 718 32 718
2 173 23 188
9 568 35 705
39 349 39 429
37 428 39 506
17 278 22 479
4 230 22 373
34 14 34 450
17 382 27 704
3 113 38 198
15 376 17 398
25 643 27 657
14 412 34 497
23 319 31 472
1 184 23 259
18 3 38 222
20 625 27 695
13 610 13 660
2 30 29 598
24 248 26 414
14 333 31 609
29 249 31 579
3 484 14 674
9 379 30 715
4 9 31 619
8 648 15 714
23 578 39 698
27 349 31 561
14 287 15 308
32 45 37 364
17 466 25 691
3 55 31 451
39 206 39 588
37 475 37 694
21 389 39 478
19 529 21 710
32 592 32 657
35 242 38 394
5 411 6 561
34 5 39 523
38 158 39 216
19 188 32 473
23 182 23 390
6 212 39 348
5 306 25 478
12 505 21 682
34 70 39 467
17 287 34 354
22 499 36 578
27 466 38 606
12 181 32 494
25 119 28 291
13 156 22 655
18 329 37 655
2 108 26 586
17 85 36 374
6 581 34 703
32 349 35 583
19 83 31 673
34 73 36 515
22 335 22 356
9 498 24 532
37 708 39 717
19 621 36 669
24 722 30 723
3 190 3 261
4 503 23 676
5 482 38 640
9 513 31 576
25 188 37 273
27 22 28 382
15 17 30 177
3 692 11 724
13 180 39 494
27 97 34 376
37 139 39 411
39 588 39 724
4 616 5 679
29 98 33 181
4 624 24 656
24 475 27 559
21 344 29 588
30 618 37 653
37 563 38 627
35 624 37 639
8 637 31 721
24 241 39 571
16 259 16 463
35 261 37 572
27 568 32 664
11 401 17 459
8 234 16 472
36 204 38 315
27 395 32 583
28 706 34 713
24 225 37 392
21 428 32 439
22 550 26 645
34 158 36 206
36 369 37 651
24 528 38 550
29 627 30 696
35 485 35 607
26 202 31 243
32 135 34 417
18 577 26 602
25 81 37 697
30 566 38 693
17 124 37 252
19 444 23 666
30 243 32 495
26 439 33 670
26 175 30 183
22 50 23 550
24 571 24 600
11 276 15 370
18 625 38 677
17 238 25 322
36 115 39 241
4 310 39 324
7 90 14 286
5 376 33 708
35 43 38 725
26 248 35 320
33 229 35 435
26 265 35 630
20 437 36 565
16 474 27 613
24 379 29 422
10 627 37 722
16 34 21 663
3 316 10 541
34 235 37 610
4 614 37 646
29 306 35 414
27 704 27 727
8 263 16 645
1 460 18 680
23 102 31 531
2 199 9 458
19 720 19 728
6 484 23 600
35 473 38 588
36 610 39 700
9 640 14 646
10 81 22 184
1 10 19 244
4 137 14 252
4 486 5 702
11 364 24 620
36 426 36 488
21 391 35 647
9 413 34 717
1 269 25 707
26 443 29 576
28 259 38 537
16 12 36 209
12 605 32 649
27 605 28 638
5 55 20 421
35 174 38 174
27 197 27 442
9 115 21 151
23 492 37 707
17 691 36 695
9 655 32 682
21 187 24 405
25 211 27 616
20 684 27 714
11 323 29 434
27 137 33 680
31 629 38 660
39 506 39 615
24 530 26 640
26 11 28 557
11 554 11 588
4 22 28 680
14 222 22 442
4 349 37 711
22 292 38 638
3 529 30 576
26 87 31 170
38 406 38 582
5 644 27 669
14 100 14 111
19 46 33 194
23 96 29 289
5 419 35 471
27 608 35 639
19 485 24 590
17 427 27 664
5 578 37 624
33 135 36 420
30 500 34 690
6 352 37 354
34 306 37 573
6 40 26 613
1 540 20 626
11 82 24 508
30 331 30 492
32 270 39 620
7 679 13 721
5 136 27 591
1 551 34 618
17 544 32 669
22 357 34 623
34 299 37 426
29 423 30 600
23 105 32 156
14 263 39 542
2 109 13 348
28 164 36 668
9 361 32 659
33 623 34 648
1 23 24 685
34 487 34 502
15 216 33 335
32 205 38 362
38 425 38 529
20 144 21 320
27 169 36 350
19 402 25 445
25 613 33 664
2 10 27 594
12 612 22 710
32 592 32 624
27 715 33 719
28 628 31 669
10 74 32 421
30 47 37 665
3 693 10 711
10 488 39 702
13 76 13 405
38 600 38 653
39 68 39 172
12 119 31 207
25 436 29 462
28 493 31 658
33 560 39 714
12 361 12 448
19 497 36 662
14 718 21 725
30 707 32 728
20 625 28 667
24 317 27 323
37 324 37 659
9 709 13 721
38 78 38 456
30 346 36 415
5 545 7 597
32 680 33 711
18 322 33 694
28 471 33 516
18 149 28 435
27 396 29 719
18 678 20 691
21 455 30 457
27 257 31 657
8 443 29 725
22 163 28 238
33 394 36 542
16 423 16 590
13 526 14 662
34 98 37 224
5 432 15 473
32 575 35 707
11 629 38 708
10 211 10 442
34 508 34 671
31 706 33 721
13 34 15 276
14 521 25 716
20 70 29 272
9 633 26 633
25 645 29 709
8 363 10 530
36 719 37 724
4 414 8 694
29 232 32 537
17 291 22 366
14 104 17 453
20 114 36 675
2 91 9 488
14 353 39 704
30 402 31 721
26 236 28 352
21 465 30 477
15 544 29 649
23 14 34 680
28 7 33 249
2 224 23 421
6 503 10 557
37 598 39 708
1 723 26 726
29 275 30 713
3 41 7 393
2 217 14 677
22 402 26 713
5 339 33 526
4 229 34 443
15 370 35 427
33 68 36 336
34 145 37 326
6 309 10 714
11 608 18 658
13 522 35 646
33 628 34 726
29 257 33 702
29 438 39 675
22 677 33 713
36 16 36 642
11 540 22 596
24 547 39 719
34 151 34 699
8 84 30 188
18 405 30 622
6 282 21 506
33 449 37 652
14 66 33 239
25 479 38 503
28 339 33 577
31 346 36 497
38 34 38 82
36 353 37 569
39 287 39 433
36 725 38 727
28 638 34 694
2 453 18 471
31 487 34 585
30 594 39 647
35 598 36 717
8 339 11 373
1 348 8 419
8 531 19 643
26 132 38 627
10 614 24 709
1 255 19 307
29 175 36 493
3 625 6 709
31 453 38 692
6 545 7 577
2 178 5 185
20 37 27 399
3 250 26 400
6 540 23 633
28 434 33 571
3 618 30 702
21 614 29 638
26 439 27 712
11 562 25 700
10 608 22 646
31 642 35 674
30 301 34 642
9 346 37 468
5 569 25 590
3 575 7 656
27 525 38 526
8 212 33 605
14 125 34 679
22 38 23 527
37 114 38 122
11 199 11 656
21 670 39 692
23 687 39 715
10 44 39 205
38 430 39 720
17 685 24 704
11 132 19 206
2 67 16 385
13 106 28 378
36 586 39 613
35 374 36 435
32 634 39 659
4 155 9 603
26 255 37 655
17 294 21 364
19 425 26 434
37 34 39 489
31 204 32 453
39 397 39 581
32 481 34 568
10 368 11 687
16 619 38 707
27 451 37 608
8 227 15 244
14 511 21 533
3 325 32 360
16 602 29 648
26 176 27 497
38 431 38 611
34 146 38 482
34 395 39 435
39 162 39 649
9 458 32 517
39 500 39 659
10 679 27 695
28 520 34 625
10 271 23 385
13 323 15 467
1 447 28 704
14 380 31 503
26 89 39 161
6 489 15 522
12 172 33 493
15 304 24 547
22 385 37 549
29 630 37 723
30 86 32 719
25 531 35 595
26 175 28 526
27 268 39 381
1 640 24 716
16 8 29 57
36 380 37 615
38 52 39 136
19 49 23 301
34 463 36 487
32 625 33 635
13 726 15 727
5 571 28 697
21 313 36 552
13 440 32 507
6 683 16 683
6 214 8 518
1 222 36 375
29 433 32 608
33 62 33 571
17 477 28 694
3 633 19 722
37 573 39 633
35 454 35 568
35 271 39 389
2 66 6 197
16 638 25 661
11 300 31 300
16 719 20 724
5 611 39 721
30 660 38 686
27 410 37 690
3 516 35 681
34 451 39 493
38 656 38 664
38 49 39 344
18 32 36 185
36 76 38 107
5 380 36 715
36 337 38 486
16 315 28 317
2 591 30 594
37 472 37 603
20 292 30 478
17 632 20 635
24 526 36 610
14 13 24 490
16 242 34 553
23 374 24 601
32 632 36 700
3 629 20 657
33 45 33 185
3 224 13 506
7 8 19 191
22 392 34 635
28 325 39 629
35 477 35 568
13 182 33 288
3 87 39 285
4 708 38 725
7 702 16 727
10 442 32 541
25 28 37 190
34 275 39 681
30 262 32 352
1 519 7 714
7 519 17 598
13 234 34 558
19 173 35 342
9 293 9 507
9 145 21 220
14 699 37 713
19 675 21 718
37 229 37 321
2 556 22 581
21 439 21 593
21 210 21 332
5 416 22 575
8 392 21 555
29 237 34 303
17 291 23 379
34 263 35 349
7 110 35 362
12 425 32 578
24 71 32 128
2 419 24 713
8 240 12 483
21 634 36 670
9 471 14 687
12 326 28 502
21 398 33 545
28 226 29 374
26 275 37 394
33 119 38 172
17 457 23 570
1 209 12 581
18 206 30 298
21 344 22 625
14 283 37 287
7 65 8 299
20 487 32 616
13 251 20 531
4 196 38 614
26 394 27 512
34 528 36 557
17 424 32 691
2 677 23 713
14 406 22 488
17 186 35 434
12 319 13 364
37 640 38 712
14 638 24 688
18 125 31 634
10 171 37 467
12 108 16 126
8 434 10 697
3 156 29 691
39 12 39 77
22 629 28 680
35 612 39 647
35 414 35 663
39 107 39 349
6 633 18 697
20 268 21 681
1 317 36 613
29 697 31 711
11 283 34 587
28 164 30 595
28 506 28 603
12 239 39 639
18 467 32 651
33 245 37 431
13 390 24 698
21 286 29 382
1 315 5 672
31 95 39 133
32 49 33 131
30 55 31 574
8 603 16 713
21 163 38 437
13 686 37 711
33 563 36 678
35 540 37 545
14 684 22 707
33 4 39 61
30 692 32 703
24 416 27 706
27 32 30 554
16 637 23 714
10 577 33 715
6 607 13 627
5 219 9 240
35 450 37 673
17 581 31 630
31 562 38 597
18 84 32 690
12 236 19 588
24 319 39 529
12 10 16 234
27 108 34 649
22 563 24 672
14 554 21 661
30 113 34 512
33 717 34 719
13 26 23 69
2 726 3 728
14 279 17 723
36 520 37 683
11 96 11 663
8 180 35 302
17 126 33 354
32 389 37 411
9 423 14 560
7 21 18 274
6 590 22 618
37 342 38 646
33 96 33 150
4 690 10 706
37 72 37 240
5 651 17 725
33 204 37 487
26 252 37 367
4 685 4 686
25 158 32 675
25 723 25 724
5 620 5 631
29 719 31 727
26 360 29 368
34 184 35 386
5 59 28 632
30 158 34 677
12 17 19 203
39 530 39 720
6 146 22 347
23 468 26 484
39 19 39 458
14 283 24 542
38 451 38 699
37 617 39 701
37 158 38 286
11 92 22 557
31 397 36 412
2 486 18 660
22 340 30 705
13 269 13 397
22 475 35 484
24 596 25 705
9 310 21 676
33 537 33 676
36 508 39 688
34 341 37 631
10 76 17 148
23 463 36 672
19 99 33 681
10 665 29 693
6 399 18 660
12 657 26 695
3 552 22 675
37 138 37 322
12 337 18 574
30 320 39 656
27 228 33 648
15 504 16 607
20 571 39 639
9 565 9 620
21 88 36 673
24 580 32 657
32 278 36 536
31 577 39 640
12 509 39 669
29 359 34 624
18 433 34 616
10 180 28 472
15 308 37 618
37 11 37 57
28 704 31 719
33 361 36 717
32 78 34 421
22 320 36 525
39 538 39 670
16 15 17 471
17 468 22 640
9 255 37 344
17 441 20 589
26 96 32 249
30 448 32 500
37 314 39 671
32 173 37 659
21 405 23 532
7 713 14 720
27 73 29 657
22 704 36 705
37 46 37 703
7 441 15 485
27 110 36 551
26 290 36 419
10 86 10 665
29 690 37 704
6 248 23 495
2 13 12 641
25 324 27 489
5 508 32 726
17 42 36 567
8 602 39 645
6 522 20 696
17 255 29 455
26 669 37 715
16 705 19 714
30 129 32 646
2 614 4 689
6 289 12 318
30 276 32 379
39 146 39 601
36 169 36 573
7 343 23 608
32 259 37 353
9 717 10 721
30 177 30 227
11 152 15 539
38 168 38 419
5 109 39 609
25 703 31 719
11 302 26 465
13 707 29 720
26 257 39 535
33 292 39 550
21 209 28 519
20 590 26 685
20 683 38 685
3 121 22 173
12 698 31 727
11 642 27 642
34 396 35 686
28 48 32 90
19 163 19 423
14 607 18 700
9 533 12 562
39 552 39 683
2 52 10 476
2 335 3 343
12 446 29 676
27 227 27 300
18 278 30 284
21 218 36 351
31 346 34 446
18 675 38 719
30 379 36 498
23 234 38 417
20 288 39 361
21 344 37 530
14 683 33 718
32 360 37 470
18 642 27 693
30 114 31 114
15 615 39 687
1 308 22 376
3 361 19 401
37 116 38 699
10 585 12 608
24 711 37 728
37 334 39 459
14 150 18 406
15 265 16 435
32 683 34 728
37 225 38 637
11 193 20 392
18 504 36 661
9 425 29 567
9 356 15 542
5 78 37 407
9 136 37 328
14 266 39 678
26 9 39 219
30 710 33 721
23 81 34 442
24 334 26 580
30 31 35 87
2 130 25 521
6 148 34 212
25 334 31 659
21 407 38 701
5 539 5 668
19 243 19 668
11 716 12 717
14 700 27 721
15 18 24 184
22 62 34 474
29 193 31 567
9 502 12 715
13 233 29 237
30 294 31 707
36 621 37 680
15 637 38 725
33 383 38 588
19 189 38 633
34 98 35 519
33 675 36 691
20 535 36 684
16 131 16 256
31 25 33 283
31 137 31 641
34 616 39 645
12 705 29 721
27 466 31 549
25 408 27 661
7 197 12 497
25 200 32 657
31 574 38 633
38 73 39 320
38 318 39 718
31 170 36 358
6 511 37 623
10 500 24 603
31 379 39 412
14 64 38 688
20 462 38 718
24 427 39 648
36 7 38 671
27 609 28 681
10 347 24 386
11 111 36 320
19 258 20 384
13 584 18 654
23 280 31 567
17 281 17 702
23 429 28 555
20 253 29 709
14 302 39 627
22 442 23 479
1 674 32 686
19 282 29 384
39 101 39 648
29 35 30 580
27 328 29 348
15 87 19 415
8 190 15 453
25 348 28 443
14 481 32 511
28 421 36 589
7 188 36 323
30 631 34 693
4 118 23 161
9 222 37 384
19 13 27 585
4 710 4 725
23 185 26 196
19 665 21 704
17 301 25 617
9 703 38 721
19 417 29 665
2 586 37 621
6 715 6 728
11 54 15 601
8 521 30 664
3 503 32 695
22 384 30 474
4 147 18 524
33 609 38 671
22 235 29 284
32 542 32 675
20 406 26 705
28 225 32 499
